
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000093                       # Number of seconds simulated (Second)
simTicks                                     92932000                       # Number of ticks simulated (Tick)
finalTick                                    92932000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.54                       # Real time elapsed on the host (Second)
hostTickRate                                 60528117                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     660508                       # Number of bytes of host memory used (Byte)
simInsts                                       132315                       # Number of instructions simulated (Count)
simOps                                         240671                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    86172                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     156740                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           185865                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.404716                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.711888                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          264514                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      175                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         257092                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    220                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                24012                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             41971                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 103                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              146269                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.757666                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.401576                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     79671     54.47%     54.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     13082      8.94%     63.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      8291      5.67%     69.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     10744      7.35%     76.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      7485      5.12%     81.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      7089      4.85%     86.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     11596      7.93%     94.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      6253      4.28%     98.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2058      1.41%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                146269                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    9782     98.68%     98.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     98.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     98.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     98.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     98.68% # attempts to use FU when none available (Count)
