
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000107                       # Number of seconds simulated (Second)
simTicks                                    106661500                       # Number of ticks simulated (Tick)
finalTick                                   106661500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      2.39                       # Real time elapsed on the host (Second)
hostTickRate                                 44541596                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     660508                       # Number of bytes of host memory used (Byte)
simInsts                                       132315                       # Number of instructions simulated (Count)
simOps                                         240671                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    55252                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     100499                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           213324                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.612244                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.620254                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          312262                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      181                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         281007                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1118                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                71766                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            162386                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 109                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              174657                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.608908                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.151966                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     91387     52.32%     52.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     18105     10.37%     62.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     13316      7.62%     70.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     16610      9.51%     79.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     12937      7.41%     87.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      7363      4.22%     91.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      8721      4.99%     96.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      4193      2.40%     98.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2025      1.16%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                174657                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    3722     95.63%     95.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     95.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     95.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     95.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     95.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     95.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     95.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     95.63% # attempts to use FU when none available (Count)
